timestamp,open,high,low,close,volume
2021-01-01 00:00:00+00:00,19822.54,19823.57,19820.56,19821.43,142.2462
2021-01-01 01:00:00+00:00,19826.42,19828.79,19668.85,19668.85,83.9577
2021-01-01 02:00:00+00:00,19669.48,19692.36,19488.59,19505.15,127.0212
2021-01-01 03:00:00+00:00,19494.98,19498.79,19414.57,19427.27,171.8696
2021-01-01 04:00:00+00:00,19423.66,19608.17,19393.52,19608.17,210.8557
2021-01-01 05:00:00+00:00,19620.44,19645.19,19407.74,19407.74,240.7167
2021-01-01 06:00:00+00:00,19413.99,19525.36,19400.22,19525.36,211.3031
2021-01-01 07:00:00+00:00,19526.86,19688.37,19526.86,19683.85,81.047
2021-01-01 08:00:00+00:00,19685.89,19685.89,19638.86,19638.86,123.2697
2021-01-01 09:00:00+00:00,19644.1,19649.05,19524.43,19550.64,97.6172
2021-01-01 10:00:00+00:00,19544.16,19609.72,19540.81,19609.72,78.1561
2021-01-01 11:00:00+00:00,19603.1,19777.18,19580.22,19762.82,62.286
2021-01-01 12:00:00+00:00,19755.74,20046.74,19725.58,20037.62,129.2462
2021-01-01 13:00:00+00:00,20030.06,20196.78,20030.06,20152.32,133.4818
2021-01-01 14:00:00+00:00,20153.52,20359.09,20153.52,20359.09,96.6994
2021-01-01 15:00:00+00:00,20349.43,20353.99,20300.22,20300.22,72.9705
2021-01-01 16:00:00+00:00,20303.14,20319.27,20134.32,20186.59,123.8082
2021-01-01 17:00:00+00:00,20185.93,20185.93,19965.08,19965.08,81.8913
2021-01-01 18:00:00+00:00,19966.16,19966.16,19797.76,19817.78,89.1736
2021-01-01 19:00:00+00:00,19823.32,19835.68,19765.24,19771.48,96.2655
2021-01-01 20:00:00+00:00,19779.54,19795.78,19779.54,19795.78,157.9836
2021-01-01 21:00:00+00:00,19789.83,19823.85,19629.66,19629.66,132.6056
2021-01-01 22:00:00+00:00,19625.44,19732.44,19612.31,19732.44,86.4216
2021-01-01 23:00:00+00:00,19738.78,19741.1,19709.93,19719.23,87.9449
2021-01-02 00:00:00+00:00,19717.63,19721.24,19611.67,19638.04,132.3827
2021-01-02 01:00:00+00:00,19631.01,19631.01,19535.1,19541.75,71.1064
2021-01-02 02:00:00+00:00,19538.2,19830.43,19538.2,19796.36,127.1576
2021-01-02 03:00:00+00:00,19794.59,19817.66,19791.39,19817.66,155.732
2021-01-02 04:00:00+00:00,19823.11,19841.04,19682.0,19703.74,77.5101
2021-01-02 05:00:00+00:00,19698.11,19702.83,19546.04,19583.43,200.3195
2021-01-02 06:00:00+00:00,19591.63,19815.33,19591.63,19815.33,102.1817
2021-01-02 07:00:00+00:00,19814.02,19816.56,19740.76,19741.82,115.3313
